	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species
ASV_9835	Eukaryota	TSAR	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Corallicolidae	Corallicolidae_COR1	Corallicolidae_COR1_sp.
ASV_9836	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_minutum
ASV_9837	Eukaryota	TSAR	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Corallicolidae	Anthozoaphila	Anthozoaphila_sp.
ASV_9838	Eukaryota	TSAR	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Corallicolidae	NA	NA
ASV_9839	Eukaryota	TSAR	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Corallicolidae	Corallicolla	Corallicola_sp.
ASV_9840	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_sp.
ASV_9841	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_sp.
ASV_9842	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Durusdinium	Durusdinium_sp.
ASV_9843	Eukaryota	TSAR	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Corallicolidae	Corallicolidae_COR1	Corallicolidae_COR1_sp.
ASV_9844	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Breviolum	Breviolum_sp.
ASV_9845	Eukaryota	TSAR	Alveolata	Apicomplexa	Coccidiomorphea	Eimeriida	Corallicolidae	NA	NA
