	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species
ASV_4778	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA
ASV_4779	Bacteria	PANNAM	Acidobacteria	Acidobacteria_X	Acidobacteriia	Acidobacteriales	Acidobacteriales_X	Acidobacteriales_XX	Acidobacteriales_XX_sp.
ASV_4780	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Bacilli	Bacillales	NA	NA	NA
ASV_4781	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
ASV_4782	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_X	Christensenellaceae_X_sp.
ASV_4783	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_4784	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	Erythrobacter_sp.
ASV_4785	Bacteria	NA	NA	NA	NA	NA	NA	NA	NA
ASV_4786	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Klebsiella_sp.
ASV_4787	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	Clade_Ia_sp.
ASV_4788	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacteraceae_X	Xanthobacteraceae_X_sp.
ASV_4789	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
ASV_4790	Bacteria	PANNAM	NA	NA	NA	NA	NA	NA	NA
ASV_4791	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
ASV_4792	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
ASV_4793	Bacteria	FCB	Bacteroidetes	Bacteroidetes_X	Bacteroidia	Sphingobacteriales	NS1112_marine_group	NS1112_marine_group_X	NS1112_marine_group_X_sp.
ASV_4794	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG005	Ruminococcaceae_UCG005_sp.
ASV_4795	Bacteria	PVC	Planctomycetes	Planctomycetes_X	Planctomycetacia	Pirellulales	Pirellulaceae	NA	NA
ASV_4796	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	AllorhizobiumNeorhizobiumPararhizobiumRhizobium	AllorhizobiumNeorhizobiumPararhizobiumRhizobium_sp.
ASV_4797	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Rhodocyclaceae_X	Rhodocyclaceae_X_sp.
ASV_4798	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas_sp.
ASV_4799	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	NA	NA	NA
ASV_4800	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_sp.
ASV_4801	Eukaryota:plas	TSAR:plas	Stramenopiles:plas	Gyrista:plas	Bacillariophyceae:plas	Fragilariales:plas	Fragilariaceae:plas	Fragilaria:plas	Fragilaria_zeilleri:plas
ASV_4802	Bacteria	FCB	Bacteroidetes	Bacteroidetes_X	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_X	Muribaculaceae_X_sp.
ASV_4803	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
ASV_4804	Eukaryota	NA	NA	NA	NA	NA	NA	NA	NA
ASV_4805	Eukaryota	NA	NA	NA	NA	NA	NA	NA	NA
ASV_4806	Bacteria	Terrabacteria	NA	NA	NA	NA	NA	NA	NA
ASV_4807	Bacteria	Terrabacteria	Firmicutes	Firmicutes_X	Clostridia	Clostridiales	Clostridiaceae_1	NA	NA
ASV_4808	Bacteria	FCB	Bacteroidetes	Bacteroidetes_X	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	Lewinella_sp.
ASV_4809	Eukaryota:plas	TSAR:plas	Stramenopiles:plas	Gyrista:plas	Bacillariophyceae:plas	Thalassiophysales:plas	Catenulaceae:plas	Amphora:plas	Amphora_sp.:plas
ASV_4810	Bacteria	CMS	Cyanobacteria	Cyanobacteria_X	Cyanophyceae	Nostocales	NA	NA	NA
ASV_4811	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	OM60(NOR5)_clade_sp.
ASV_4812	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Deltaproteobacteria	PB19	PB19_X	PB19_XX	PB19_XX_sp.
ASV_4813	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	Woeseia_sp.
ASV_4814	Bacteria	FCB	Bacteroidetes	Bacteroidetes_X	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	Tenacibaculum_sp.
ASV_4815	Bacteria	PANNAM	Proteobacteria	Proteobacteria_X	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospiraceae_X	Magnetospiraceae_X_sp.
ASV_4816	Bacteria	CMS	Cyanobacteria	Cyanobacteria_X	Cyanophyceae	NA	NA	NA	NA
