	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1955	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5 marine group	NA
ASV_1956	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA	NA
ASV_1957	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_1958	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Nioella	NA
ASV_1959	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	NA
ASV_1960	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] ventriosum group	NA
ASV_1961	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Terrisporobacter	mayombei
ASV_1962	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	NA
ASV_1963	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_1964	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA
ASV_1965	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	Acrophormium PCC-7375	NA
ASV_1966	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	KI89A clade	NA	NA
ASV_1967	Bacteria	Desulfobacterota	Desulfuromonadia	Bradymonadales	NA	NA	NA
ASV_1968	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_1969	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	NA
ASV_1970	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA
ASV_1971	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA
ASV_1972	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_1973	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	NA
ASV_1974	Bacteria	Marinimicrobia (SAR406 clade)	NA	NA	NA	NA	NA
ASV_1975	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA
ASV_1976	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina	temperata
ASV_1977	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
ASV_1978	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA
ASV_1979	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_1980	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Ornithinibacter	aureus
ASV_1981	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV_1982	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA
ASV_1983	Bacteria	Cyanobacteria	Cyanobacteriia	Thermosynechococcales	NA	NA	NA
ASV_1984	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11 clade	Clade I	Clade Ib	NA
ASV_1985	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_1986	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	mle1-7	NA
ASV_1987	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	NA
ASV_1988	Bacteria	NA	NA	NA	NA	NA	NA
